id;name;documentation;technology;eol_date;team_id
797d7bc5-a446-44f2-92c1-10c5d0;panel;Account calculating RSS;Handcrafted e-tailers Oklahoma;2022-07-04;08a62f88-9845-4f9e-8242-47328a
e4d73f27-57b3-48f5-984e-fbca26;Gloves Dinar;Executive;portal;2022-07-03;50886048-bf28-45a2-8128-687dfa
b9005867-e997-4313-9b7b-e83fcf;Incredible Oklahoma;Cotton;white Gorgeous;2022-07-04;f7afa351-c2e2-4c01-a5f3-103182
9798fe22-2598-40ea-b4c6-e84afb;transmit;infrastructures;CSS Industrial client-server;2022-07-04;acebee67-fa4e-439d-94f5-907dd9
28e292d4-9a59-4f5f-a99e-62437e;Kids redundant hacking;Account;open-source;2022-07-04;a188d910-a2b9-4194-80f5-806ffd
37a3ac4c-5e87-4aa1-abd0-e9c35d;Fresh;GB;withdrawal;2022-07-04;7dfce140-9a17-4fb8-bdb9-7129ae
92b6e185-8523-4898-a437-b6579f;wireless;Table;extend distributed;2022-07-04;1499457a-787d-4dff-a470-47fad9
dc341a96-4a3f-4838-ba44-7571b5;bandwidth out-of-the-box;Granite CSS;Handmade Liechtenstein Pennsylvania;2022-07-04;05432e0e-53de-4951-9a2e-fb4901
d9265cf0-21e4-44bf-b970-a6c9aa;syndicate;Avon Island Executive;withdrawal Analyst;2022-07-04;3441358d-d5ee-4da8-b364-42b23e
7034931e-645f-48d0-9310-d33375;Strategist cross-platform open-source;Syrian;bypassing Ergonomic withdrawal;2022-07-04;321037ec-c7a1-41d9-a84b-24eecd
