id;name;documentation;technology;c_4_type;landscape_id
6586df18-17af-4cbb-843b-67edc7;Luxembourg overriding;multi-state;Hat;PERSON;70ebd703-9
cdf80e7c-115b-4710-89f6-06953c;JSON orchid;Ecuador array Kip;Illinois Chile feed;APP_CONTAINER;42943c7f-6
781f2a41-f2ac-46fc-ac6b-6244f7;Checking;Incredible;Chicken;RELATIONSHIP;3157ac3e-c
42d9968e-39b8-4075-adb9-9a62eb;Units;Shirt;Forward;RELATIONSHIP;ad9284b1-7
83438399-0dcb-4baa-834b-5827f0;white Auto Incredible;Stravenue heuristic;Helena Computer;PERSON;5cc8626e-b
7190ff79-5141-45be-8008-191499;Movies programming;actuating Sports;Harbors;APP_CONTAINER;97fc2462-8
811150c9-67aa-4772-9257-2f6beb;Metal;Metal;District;PERSON;6a345d9a-2
84125cd1-5397-457a-8c9c-292988;input Idaho Fresh;New;alarm Polarised Tools;SOFTWARE_SYSTEM;bcd12b1e-d
0c3b2d3b-f4d5-41e5-94fb-8c05c3;redundant Maryland Unbranded;software disintermediate collaboration;AGP Estonia;SOFTWARE_SYSTEM;cdd644c1-c
92394174-6fb9-4f33-b57a-65c891;Direct;District;HDD protocol;SOFTWARE_SYSTEM;c27a8a42-5
